seed,prior_name,coordinate,is_active,theta_true_j,map_mean_j,posterior_sd_j,radius,log_prior_mass,log_post_mass,prior_mass,post_mass,log_mass_ratio,mass_ratio,hessian_condition_number,hessian_status,optimisation_status,hessian_device,covariance_device,linear_algebra_fallback,device_used,cuda_available,gpu_name
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,0.0017522244804127837,-5.655473698791559,-5.535064042716595,0.003498315546403896,0.003945955918158784,0.12040965607496368,1.1279588321342373,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,0.0024244620170823282,-5.331421929618574,-5.209886982856838,0.004837186980377271,0.005462290985279791,0.12153494676173615,1.1292288281264178,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,0.0033546021859540433,-5.007627635142425,-4.884295999669163,0.006686747909986579,0.007564447261323612,0.12333163547326187,1.1312595245330244,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,0.004641588833612777,-4.6841893678712,-4.557914729371171,0.00924022199789265,0.01048389792984344,0.1262746385000293,1.1345937286176053,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,0.006422325422229356,-4.361243282058297,-4.230028351748949,0.012762510381443605,0.014551977968541402,0.13121493030934772,1.140212821272188,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,0.008886238162743407,-4.0389773695742885,-3.899289090309044,0.01761547733094925,0.02025630673308303,0.13968827926524474,1.1499152905436183,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,0.012295426265956215,-3.7176509836345333,-3.563191022460312,0.024290960745180997,0.028348220422823475,0.15445996117422123,1.1670275507092647,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,0.017012542798525893,-3.397621520232359,-3.217198272975437,0.0334527420816575,0.040067158390803694,0.18042324725692183,1.197724189335527,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,0.023539371975499858,-3.079380699323966,-2.8535152935953847,0.045987728063029976,0.05764133808521431,0.22586540572858116,1.25340695252899,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,0.03257020655659783,-2.763603546974922,-2.4600444247330557,0.06306410394529893,0.08543115562673499,0.3035591222418663,1.3546716798011904,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,0.045065703377454774,-2.4512138384894406,-2.0216672411600256,0.0861889035696237,0.13243448069695654,0.429546597329415,1.5365606848679247,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,0.062355073412739125,-2.143470191231061,-1.528501571324298,0.11724726581167477,0.2168603737832115,0.614968619906763,1.849598558072455,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,0.08627747685955875,-1.8420766716724302,-0.9957332978064837,0.15848795667535878,0.3694524265337699,0.8463433738659465,2.33110726066425,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,0.11937766417144358,-1.5493196025258136,-0.4904625532703295,0.2123924359522955,0.612343087369594,1.058857049255484,2.8830738939645175,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,0.16517667439704584,-1.2682260238481338,-0.13575849204027207,0.28133025252686716,0.8730534563888555,1.1324675318078616,3.1033045630436717,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,0.22854638641349884,-1.0027248233179435,-0.01009688602650041,0.366878399142644,0.9899539164013391,0.9926279372914432,2.6983161688307535,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,0.31622776601683794,-0.757761670733422,-3.7098505030624725e-05,0.46871439086703215,0.9999629021831105,0.7577245722283914,2.1334162587442003,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,1e-06,-13.122364377409463,-inf,1.9999979999907316e-06,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,1.383648068032461e-06,-12.797641222304616,-inf,2.767292307082059e-06,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,1.9144819761699575e-06,-12.472918214372065,-inf,3.828956621876324e-06,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,2.6489692876105295e-06,-12.14819541010351,-inf,5.297924541181057e-06,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,3.665241237079626e-06,-11.823472887627423,-inf,7.3304556061915e-06,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,5.071403956558132e-06,-11.498750755023577,-inf,1.0142756475040043e-05,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,7.017038286703823e-06,-11.174029161903244,-inf,1.4033978096184013e-05,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,9.709111468707553e-06,-10.849308315209663,-inf,1.9418034404972157e-05,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,1.3433993325988988e-05,-10.52458850132505,-inf,2.6867625710802458e-05,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,1.8587918911465637e-05,-10.19987011646623,-inf,3.717514681000902e-05,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,2.571913809059347e-05,-9.875153708877038,-inf,5.143695325571245e-05,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,3.558623573050966e-05,-9.550440037117518,-inf,7.116993876077332e-05,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,4.9238826317067415e-05,-9.225730150759178,-inf,9.847280386932052e-05,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,6.812920690579608e-05,-8.901025502014923,-inf,0.0001362491310555881,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,9.426684551178853e-05,-8.576328100190999,-inf,0.00018851591966406747,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,0.00013043213867190053,-8.251640725374168,-inf,0.0002608302552166153,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,0.00018047217668271703,-7.926967224063486,-inf,0.00036087922078897883,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,0.0002497099786006541,-7.602312918145759,-inf,0.0004992952678127826,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,0.0003455107294592218,-7.277685170637281,-inf,0.0006907827585755922,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,0.00047806525330073803,-6.953094168210774,-inf,0.0009556735594739017,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,0.0006614740641230146,-6.628554003432354,-inf,0.0013220734181456082,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,0.0009152473108773893,-6.3040841712353,-inf,0.001828820288249932,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,0.0012663801734674035,-5.979711637668797,-inf,0.002529555615623735,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,0.0017522244804127837,-5.655473698791559,-inf,0.003498315546403896,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,0.0024244620170823282,-5.331421929618574,-inf,0.004837186980377271,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,0.0033546021859540433,-5.007627635142425,-inf,0.006686747909986579,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,0.004641588833612777,-4.6841893678712,-inf,0.00924022199789265,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,0.006422325422229356,-4.361243282058297,-inf,0.012762510381443605,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,0.008886238162743407,-4.0389773695742885,-inf,0.01761547733094925,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,0.012295426265956215,-3.7176509836345333,-inf,0.024290960745180997,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,0.017012542798525893,-3.397621520232359,-inf,0.0334527420816575,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,0.023539371975499858,-3.079380699323966,-inf,0.045987728063029976,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,0.03257020655659783,-2.763603546974922,-inf,0.06306410394529893,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,0.045065703377454774,-2.4512138384894406,-inf,0.0861889035696237,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,0.062355073412739125,-2.143470191231061,-inf,0.11724726581167477,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,0.08627747685955875,-1.8420766716724302,-inf,0.15848795667535878,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,0.11937766417144358,-1.5493196025258136,-inf,0.2123924359522955,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,0.16517667439704584,-1.2682260238481338,-inf,0.28133025252686716,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,0.22854638641349884,-1.0027248233179435,-inf,0.366878399142644,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,1,True,-1.5741042041228148,-1.5521355056766355,0.062019435771830264,0.31622776601683794,-0.757761670733422,-inf,0.46871439086703215,0.0,,0.0,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,2,False,0.0,0.059191804830160816,0.05643210527036485,1e-06,-13.122364377409463,-11.716683628121737,1.9999979999907316e-06,8.156596038853093e-06,1.4056807492877255,4.078302097747544,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,2,False,0.0,0.059191804830160816,0.05643210527036485,1.383648068032461e-06,-12.797641222304616,-11.391960089366297,2.767292307082059e-06,1.1285858350878831e-05,1.4056811329383194,4.078303662390867,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,2,False,0.0,0.059191804830160816,0.05643210527036485,1.9144819761699575e-06,-12.472918214372065,-11.067236550596599,3.828956621876324e-06,1.5615656103502103e-05,1.405681663775466,4.0783058273065205,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,2,False,0.0,0.059191804830160816,0.05643210527036485,2.6489692876105295e-06,-12.14819541010351,-10.74251301182645,5.297924541181057e-06,2.1606572398984964e-05,1.4056823982770599,4.078308822829751,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,2,False,0.0,0.059191804830160816,0.05643210527036485,3.665241237079626e-06,-11.823472887627423,-10.417789473040862,7.3304556061915e-06,2.989589215755639e-05,1.4056834145865604,4.07831296765586,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
