seed,dimension,epsilon,tau,family,objective,learned_means,learned_scales,learned_weights,learned_weight_component_2,device_used,cuda_available,gpu_name,training_device,evaluation_device,eval_batch_size,gpu_memory_allocated_mb,gpu_memory_reserved_mb
0,10,0.01,0.05,diagonal_gaussian,inclusive_kl,"[1.4786345155188034,1.4897944869586222,1.4980443742720793,1.4820396953797084,1.4692329943433033,1.4900227357117068,1.4876486762560006,1.4870643878435563,1.4885367515406638,1.477689224594364]","[1.0089949025435931,1.0069159321633279,1.0128967920816219,1.014272584893278,1.0076797488097249,1.00199306847867,1.011998979227642,0.9995961355697863,1.0129022350781716,1.0035014459071303]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.05,diagonal_gaussian_mixture_2,inclusive_kl,"[[1.4918076999916363,1.5031911096309853,1.5116035478744871,1.495270243189093,1.4823983815887618,1.5034393764254665,1.5010256233444634,1.500386573973728,1.5018574313229864,1.4910334985035103],[0.002361537999529384,-0.003336830223816462,-0.0023930906019148934,-0.0038106436656563493,-0.005943311856359336,-0.003068458173242343,0.0014353884864297369,0.0020976285403713248,0.0014120228856536068,-0.0011083443580093637]]","[[1.0035206280182254,1.0013442353187998,1.0073543157119795,1.0088499557860806,1.0023329833064116,0.9964568190120573,1.0064279236137388,0.9940391887655945,1.0073878087798334,0.9982368117315897],[0.05186159368163948,0.04976306709078849,0.04924460331355013,0.05155159137617796,0.05080073967539916,0.050005934588411696,0.051305002609207034,0.04990219366563611,0.051141781732236234,0.05200545056496439]]","[0.98966043631638,0.010339563683620007]",0.010339563683620007,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.1,diagonal_gaussian,exclusive_kl,"[1.5049306630091426,1.490289905226438,1.4983587894290507,1.4782631990348916,1.517195472202494,1.5005178052334458,1.5040273665489725,1.4984978338696078,1.5102924301407985,1.498616800199337]","[0.9950549113565911,0.998106082299281,0.9973185368841655,0.9982937150063702,1.0067602372087003,1.0003892993692631,1.0092189530160967,0.9922539044810654,1.0101210043602902,0.9999520554221435]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.1,diagonal_gaussian_mixture_2,exclusive_kl,"[[1.5003981660293029,1.4838088207958262,1.4940734721166846,1.50126996822309,1.5017618544236722,1.5015030220919248,1.4965364815544384,1.503127141016807,1.4902208110888582,1.5062795755057152],[0.0035079518596306033,0.0014880206080627248,-0.0015665894105371025,0.0007921784540902007,-0.00025864225881655294,-0.00189414790720875,0.0018459956139134227,-0.0013329572395957574,-0.0005172355213615887,0.00510031302899284]]","[[1.003557122857442,0.9939653126865038,0.9995549094252641,1.0010547966850014,0.9986897549383451,0.9949682886813441,1.0050715125776009,0.9973878862727306,1.0006096685635497,1.0005203373256415],[0.10049982744672678,0.10066046154991985,0.09933022956120478,0.10028048824932263,0.09878567620029378,0.09932095374650447,0.09885058149161512,0.09919919913745093,0.10008869593344143,0.10027363044496582]]","[0.9900243958643468,0.009975604135653151]",0.009975604135653151,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.1,diagonal_gaussian,inclusive_kl,"[1.4786118926387586,1.4898137489860843,1.4980345205027306,1.4820481936016963,1.4691998250767062,1.490029901243025,1.4876471649208551,1.4870950544354025,1.4885508772085068,1.4776549694270125]","[1.009068059605108,1.006913783057241,1.012947203420335,1.0142837044270836,1.0077585328033694,1.002009259577808,1.0120404728552486,0.9995856640125754,1.0129240818659224,1.0035938389739574]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.1,diagonal_gaussian_mixture_2,inclusive_kl,"[[1.4918076290780091,1.5031910004867548,1.511603257149371,1.4952701289042307,1.4823982500040889,1.5034391502690836,1.5010255397543146,1.5003864321201326,1.5018572717016632,1.4910334061407193],[-0.005918433572147929,0.0036375982407775786,-0.0022763002521794663,0.0028941316630720386,-0.00637877280953954,0.002606456998803153,0.00023752834465018305,0.00612722760480029,0.0028375143917612625,-0.007632186734882488]]","[[1.0035206965102528,1.0013442386001354,1.0073543513791487,1.0088499507504889,1.0023330068126848,0.9964568440331124,1.0064279783956627,0.9940392150870201,1.007387807528353,0.9982368293008388],[0.10322438803815828,0.09906490499721035,0.09834486883193426,0.1028878648938657,0.10128188556518163,0.10008988666995802,0.10209424641531718,0.09954687020311848,0.10191000494909985,0.10357450143393508]]","[0.9896604592613741,0.010339540738625806]",0.010339540738625806,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.05,0.05,diagonal_gaussian,exclusive_kl,"[1.5049306630091426,1.490289905226438,1.4983587894290507,1.4782631990348916,1.517195472202494,1.5005178052334458,1.5040273665489725,1.4984978338696078,1.5102924301407985,1.498616800199337]","[0.9950549113565911,0.998106082299281,0.9973185368841655,0.9982937150063702,1.0067602372087003,1.0003892993692631,1.0092189530160967,0.9922539044810654,1.0101210043602902,0.9999520554221435]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.05,0.05,diagonal_gaussian_mixture_2,exclusive_kl,"[[1.5003981850134764,1.483808485900645,1.4940722728808522,1.5012694563722409,1.5017611663151496,1.5015046147592204,1.496536189828729,1.5031260468984786,1.4902219321236099,1.5062798042421555],[-0.0013111026589535022,-0.0005729864208821257,-0.0001595795603618367,0.0006297089858404961,-9.112499483053088e-05,-0.001060591393672111,0.0006894812167352465,0.002093221296789897,0.0005952380506768205,-0.0003903381651931093]]","[[1.0035564966740835,0.9939655525827541,0.9995556059433418,1.0010549066545578,0.9986899138855396,0.99496814299923,1.0050713835244967,0.9973874926478099,1.0006089247971046,1.0005188843547874],[0.05024025311820232,0.050350479888096156,0.04965926518100957,0.0501508751742189,0.04937459550303571,0.04966033485216056,0.04940444304417072,0.04963025916007826,0.05003815090837772,0.050142084474274276]]","[0.9501132631642512,0.04988673683574889]",0.04988673683574889,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.05,0.05,diagonal_gaussian,inclusive_kl,"[1.4197846334862625,1.437632066586503,1.4244315179066964,1.4314481688786866,1.4289754927430525,1.424390675458751,1.4206084069591687,1.432411071913297,1.4308221036201851,1.405159517547511]","[1.0340776373997604,1.030385270153999,1.0359083130014106,1.0197527995968856,1.0380686162427004,1.0253009805607232,1.0311202061022444,1.0285870270969704,1.0293562919543018,1.0330353679138173]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.05,0.05,diagonal_gaussian_mixture_2,inclusive_kl,"[[1.4932122461651358,1.5120369085050973,1.4982757156692124,1.5055949775646107,1.5030468957379979,1.4981299581849963,1.4942589880501427,1.5065236151958583,1.5047636885878855,1.4780959250642542],[0.005159980456053255,0.002169932034743735,0.00021743842001128858,0.0027093272023496814,-0.000618461942356405,0.0008360213099399816,-0.006413997193557234,-0.007351646711430984,0.003198415521293095,-0.0028970351684168994]]","[[1.0067959318991775,1.0024298390211854,1.0085082663934986,0.992069363559422,1.0099855556845454,0.997814559552487,1.0045012737169239,1.0001561355947974,1.0010142339922952,1.0068669360994102],[0.05005090730198622,0.0494201322080141,0.049851930603216875,0.05043429750824121,0.0502142969057446,0.05037763804505079,0.05049961134704432,0.050439109931228084,0.051283855783797315,0.04989109854254475]]","[0.9495981836328101,0.0504018163671898]",0.0504018163671898,cpu,False,,cpu,cpu,65536,0.0,0.0
