seed,dimension,epsilon,tau,family,objective,radius,q_inside_count,q_total_count,q_mass_reliability,device_used,cuda_available,gpu_name,training_device,evaluation_device,eval_batch_size,gpu_memory_allocated_mb,gpu_memory_reserved_mb
0,10,0.01,0.05,diagonal_gaussian_mixture_2,exclusive_kl,0.11858541225631425,377,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.05,diagonal_gaussian_mixture_2,exclusive_kl,0.158113883008419,1476,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.05,diagonal_gaussian_mixture_2,exclusive_kl,0.2371708245126285,2516,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.05,diagonal_gaussian_mixture_2,exclusive_kl,0.316227766016838,2554,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.05,diagonal_gaussian,inclusive_kl,0.0790569415042095,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.05,diagonal_gaussian,inclusive_kl,0.11858541225631425,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.05,diagonal_gaussian,inclusive_kl,0.158113883008419,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.05,diagonal_gaussian,inclusive_kl,0.2371708245126285,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.05,diagonal_gaussian,inclusive_kl,0.316227766016838,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.05,diagonal_gaussian_mixture_2,inclusive_kl,0.0790569415042095,23,262144,weak,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.05,diagonal_gaussian_mixture_2,inclusive_kl,0.11858541225631425,350,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.05,diagonal_gaussian_mixture_2,inclusive_kl,0.158113883008419,1427,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.05,diagonal_gaussian_mixture_2,inclusive_kl,0.2371708245126285,2587,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.05,diagonal_gaussian_mixture_2,inclusive_kl,0.316227766016838,2642,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.1,diagonal_gaussian,exclusive_kl,0.158113883008419,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.1,diagonal_gaussian,exclusive_kl,0.2371708245126285,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.1,diagonal_gaussian,exclusive_kl,0.316227766016838,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.1,diagonal_gaussian,exclusive_kl,0.474341649025257,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.1,diagonal_gaussian,exclusive_kl,0.632455532033676,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.1,diagonal_gaussian_mixture_2,exclusive_kl,0.158113883008419,27,262144,weak,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.1,diagonal_gaussian_mixture_2,exclusive_kl,0.2371708245126285,374,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.1,diagonal_gaussian_mixture_2,exclusive_kl,0.316227766016838,1476,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.1,diagonal_gaussian_mixture_2,exclusive_kl,0.474341649025257,2517,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.1,diagonal_gaussian_mixture_2,exclusive_kl,0.632455532033676,2555,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.1,diagonal_gaussian,inclusive_kl,0.158113883008419,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.1,diagonal_gaussian,inclusive_kl,0.2371708245126285,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.1,diagonal_gaussian,inclusive_kl,0.316227766016838,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.1,diagonal_gaussian,inclusive_kl,0.474341649025257,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.1,diagonal_gaussian,inclusive_kl,0.632455532033676,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.1,diagonal_gaussian_mixture_2,inclusive_kl,0.158113883008419,24,262144,weak,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.1,diagonal_gaussian_mixture_2,inclusive_kl,0.2371708245126285,354,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.1,diagonal_gaussian_mixture_2,inclusive_kl,0.316227766016838,1451,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.1,diagonal_gaussian_mixture_2,inclusive_kl,0.474341649025257,2590,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.1,diagonal_gaussian_mixture_2,inclusive_kl,0.632455532033676,2642,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.05,0.05,diagonal_gaussian,exclusive_kl,0.0790569415042095,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.05,0.05,diagonal_gaussian,exclusive_kl,0.11858541225631425,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.05,0.05,diagonal_gaussian,exclusive_kl,0.158113883008419,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.05,0.05,diagonal_gaussian,exclusive_kl,0.2371708245126285,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.05,0.05,diagonal_gaussian,exclusive_kl,0.316227766016838,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.05,0.05,diagonal_gaussian_mixture_2,exclusive_kl,0.0790569415042095,126,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.05,0.05,diagonal_gaussian_mixture_2,exclusive_kl,0.11858541225631425,2036,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.05,0.05,diagonal_gaussian_mixture_2,exclusive_kl,0.158113883008419,7360,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.05,0.05,diagonal_gaussian_mixture_2,exclusive_kl,0.2371708245126285,12856,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.05,0.05,diagonal_gaussian_mixture_2,exclusive_kl,0.316227766016838,13033,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.05,0.05,diagonal_gaussian,inclusive_kl,0.0790569415042095,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.05,0.05,diagonal_gaussian,inclusive_kl,0.11858541225631425,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.05,0.05,diagonal_gaussian,inclusive_kl,0.158113883008419,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.05,0.05,diagonal_gaussian,inclusive_kl,0.2371708245126285,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.05,0.05,diagonal_gaussian,inclusive_kl,0.316227766016838,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.05,0.05,diagonal_gaussian_mixture_2,inclusive_kl,0.0790569415042095,115,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
