seed,dimension,epsilon,tau,family,objective,step,final_training_loss,estimated_DKL_q_p,estimated_DKL_p_q,estimated_cross_entropy_p_q,radius,target_local_mass,q_local_mass,local_mass_ratio_q_over_p,log_local_mass_ratio,plot_local_mass_ratio,plotting_floor,q_inside_count,q_total_count,q_mass_reliability,learned_means,learned_scales,learned_weights,device_used,cuda_available,gpu_name,training_device,evaluation_device,eval_batch_size,gpu_memory_allocated_mb,gpu_memory_reserved_mb
2,10,0.1,0.05,diagonal_gaussian_mixture_2,exclusive_kl,5000,0.0010979830398245701,0.0009582308181745232,0.00090334381740019,11.541098895042007,0.2371708245126285,0.09872495266112029,0.09801483154296875,0.9928070756276878,-0.007218918175468344,0.9928070756276878,1e-12,25694,262144,reliable,"[[1.4904147108064747,1.4951757047188188,1.501577244934559,1.5105657453216135,1.5074614908351698,1.4913792111290742,1.4994026520682298,1.5000591541075956,1.5012724782093139,1.5093235559760287],[0.0007470338614375064,0.0007038581921408876,-0.001012908254640426,0.0031627900387708663,-0.0005730584487181628,-0.0015829376238234662,-0.0005254199088395734,-0.00020013567063943623,0.0025645989745197847,-0.001268184112936225]]","[[1.0067323319176844,0.9989105416112855,1.0029432188811696,1.0060989686299568,0.9994812576695947,0.9982833919192385,0.9991846875949552,0.9904240027712192,1.0066327113573779,1.0059645060927682],[0.0500331213358871,0.0504547633340523,0.050369237592521855,0.049399916471192046,0.05030691632371113,0.04975552084972531,0.05025448542792721,0.04967805070835293,0.05000616410869702,0.049593778093009334]]","[0.9005541184030713,0.09944588159692859]",cpu,False,,cpu,cpu,65536,0.0,0.0
2,10,0.1,0.05,diagonal_gaussian_mixture_2,exclusive_kl,5000,0.0010979830398245701,0.0009582308181745232,0.00090334381740019,11.541098895042007,0.316227766016838,0.0999983055256391,0.09930419921875,0.993058819314582,-0.006965382738978048,0.993058819314582,1e-12,26032,262144,reliable,"[[1.4904147108064747,1.4951757047188188,1.501577244934559,1.5105657453216135,1.5074614908351698,1.4913792111290742,1.4994026520682298,1.5000591541075956,1.5012724782093139,1.5093235559760287],[0.0007470338614375064,0.0007038581921408876,-0.001012908254640426,0.0031627900387708663,-0.0005730584487181628,-0.0015829376238234662,-0.0005254199088395734,-0.00020013567063943623,0.0025645989745197847,-0.001268184112936225]]","[[1.0067323319176844,0.9989105416112855,1.0029432188811696,1.0060989686299568,0.9994812576695947,0.9982833919192385,0.9991846875949552,0.9904240027712192,1.0066327113573779,1.0059645060927682],[0.0500331213358871,0.0504547633340523,0.050369237592521855,0.049399916471192046,0.05030691632371113,0.04975552084972531,0.05025448542792721,0.04967805070835293,0.05000616410869702,0.049593778093009334]]","[0.9005541184030713,0.09944588159692859]",cpu,False,,cpu,cpu,65536,0.0,0.0
2,10,0.1,0.05,diagonal_gaussian,inclusive_kl,5000,14.699891357684304,0.23877372066089753,3.13780257992914,14.675286409463498,0.0790569415042095,0.0009124279218395284,0.0,0.0,-inf,1e-12,1e-12,0,262144,unreliable,"[1.3506909345866738,1.356162153232827,1.3550378584693723,1.347560665907188,1.3475148664390428,1.3489778115716327,1.3537411085808755,1.3562410803854923,1.3540186986481586,1.3505966780710887]","[1.0406332783930239,1.0522592641762691,1.0550978310451096,1.0428215256516715,1.045984992614618,1.049615101825671,1.0501360876494419,1.0538641956919303,1.0488413162075345,1.0517906166188118]",[1.0],cpu,False,,cpu,cpu,65536,0.0,0.0
2,10,0.1,0.05,diagonal_gaussian,inclusive_kl,5000,14.699891357684304,0.23877372066089753,3.13780257992914,14.675286409463498,0.11858541225631425,0.015427587370149872,0.0,0.0,-inf,1e-12,1e-12,0,262144,unreliable,"[1.3506909345866738,1.356162153232827,1.3550378584693723,1.347560665907188,1.3475148664390428,1.3489778115716327,1.3537411085808755,1.3562410803854923,1.3540186986481586,1.3505966780710887]","[1.0406332783930239,1.0522592641762691,1.0550978310451096,1.0428215256516715,1.045984992614618,1.049615101825671,1.0501360876494419,1.0538641956919303,1.0488413162075345,1.0517906166188118]",[1.0],cpu,False,,cpu,cpu,65536,0.0,0.0
2,10,0.1,0.05,diagonal_gaussian,inclusive_kl,5000,14.699891357684304,0.23877372066089753,3.13780257992914,14.675286409463498,0.158113883008419,0.05595067149347881,0.0,0.0,-inf,1e-12,1e-12,0,262144,unreliable,"[1.3506909345866738,1.356162153232827,1.3550378584693723,1.347560665907188,1.3475148664390428,1.3489778115716327,1.3537411085808755,1.3562410803854923,1.3540186986481586,1.3505966780710887]","[1.0406332783930239,1.0522592641762691,1.0550978310451096,1.0428215256516715,1.045984992614618,1.049615101825671,1.0501360876494419,1.0538641956919303,1.0488413162075345,1.0517906166188118]",[1.0],cpu,False,,cpu,cpu,65536,0.0,0.0
2,10,0.1,0.05,diagonal_gaussian,inclusive_kl,5000,14.699891357684304,0.23877372066089753,3.13780257992914,14.675286409463498,0.2371708245126285,0.09872495266112029,0.0,0.0,-inf,1e-12,1e-12,0,262144,unreliable,"[1.3506909345866738,1.356162153232827,1.3550378584693723,1.347560665907188,1.3475148664390428,1.3489778115716327,1.3537411085808755,1.3562410803854923,1.3540186986481586,1.3505966780710887]","[1.0406332783930239,1.0522592641762691,1.0550978310451096,1.0428215256516715,1.045984992614618,1.049615101825671,1.0501360876494419,1.0538641956919303,1.0488413162075345,1.0517906166188118]",[1.0],cpu,False,,cpu,cpu,65536,0.0,0.0
2,10,0.1,0.05,diagonal_gaussian,inclusive_kl,5000,14.699891357684304,0.23877372066089753,3.13780257992914,14.675286409463498,0.316227766016838,0.0999983055256391,0.0,0.0,-inf,1e-12,1e-12,0,262144,unreliable,"[1.3506909345866738,1.356162153232827,1.3550378584693723,1.347560665907188,1.3475148664390428,1.3489778115716327,1.3537411085808755,1.3562410803854923,1.3540186986481586,1.3505966780710887]","[1.0406332783930239,1.0522592641762691,1.0550978310451096,1.0428215256516715,1.045984992614618,1.049615101825671,1.0501360876494419,1.0538641956919303,1.0488413162075345,1.0517906166188118]",[1.0],cpu,False,,cpu,cpu,65536,0.0,0.0
2,10,0.1,0.05,diagonal_gaussian_mixture_2,inclusive_kl,5000,11.625586394370849,0.0028922770687309198,0.002988746994566433,11.543184298219172,0.0790569415042095,0.0009124279218395284,0.000782012939453125,0.8570681812066029,-0.15423780554822367,0.8570681812066029,1e-12,205,262144,reliable,"[[1.4991764043147202,1.5048313687788941,1.503708700666455,1.495461016708262,1.4958076495502,1.4972605591812818,1.5022654603989372,1.5052041739526325,1.5028974147597018,1.4991941156295217],[-0.002807169987172124,0.003794343166789782,-0.004068676501599763,-0.006852375233257906,0.0014920160738194279,0.0005111333343949581,-0.00132035127890382,0.003724316691078032,-0.004210349172873984,0.0017354604190815315]]","[[0.9899076602905436,1.002380546827531,1.0048568546604597,0.9924709968780734,0.9958564845881088,0.9994939161668384,1.0014501173651185,1.0038929947549693,0.9976986367775355,1.002221964058705],[0.04974288230768312,0.04986078705498341,0.04980165251672929,0.05090291189043225,0.05059741068770026,0.04965330741248724,0.049791501859149045,0.05078899055008667,0.05095275684045856,0.051056784991553715]]","[0.9018260723310314,0.09817392766896872]",cpu,False,,cpu,cpu,65536,0.0,0.0
2,10,0.1,0.05,diagonal_gaussian_mixture_2,inclusive_kl,5000,11.625586394370849,0.0028922770687309198,0.002988746994566433,11.543184298219172,0.11858541225631425,0.015427587370149872,0.014324188232421875,0.9284788274890658,-0.07420770136905923,0.9284788274890658,1e-12,3755,262144,reliable,"[[1.4991764043147202,1.5048313687788941,1.503708700666455,1.495461016708262,1.4958076495502,1.4972605591812818,1.5022654603989372,1.5052041739526325,1.5028974147597018,1.4991941156295217],[-0.002807169987172124,0.003794343166789782,-0.004068676501599763,-0.006852375233257906,0.0014920160738194279,0.0005111333343949581,-0.00132035127890382,0.003724316691078032,-0.004210349172873984,0.0017354604190815315]]","[[0.9899076602905436,1.002380546827531,1.0048568546604597,0.9924709968780734,0.9958564845881088,0.9994939161668384,1.0014501173651185,1.0038929947549693,0.9976986367775355,1.002221964058705],[0.04974288230768312,0.04986078705498341,0.04980165251672929,0.05090291189043225,0.05059741068770026,0.04965330741248724,0.049791501859149045,0.05078899055008667,0.05095275684045856,0.051056784991553715]]","[0.9018260723310314,0.09817392766896872]",cpu,False,,cpu,cpu,65536,0.0,0.0
2,10,0.1,0.05,diagonal_gaussian_mixture_2,inclusive_kl,5000,11.625586394370849,0.0028922770687309198,0.002988746994566433,11.543184298219172,0.158113883008419,0.05595067149347881,0.053165435791015625,0.9502197984739502,-0.05106195433403988,0.9502197984739502,1e-12,13937,262144,reliable,"[[1.4991764043147202,1.5048313687788941,1.503708700666455,1.495461016708262,1.4958076495502,1.4972605591812818,1.5022654603989372,1.5052041739526325,1.5028974147597018,1.4991941156295217],[-0.002807169987172124,0.003794343166789782,-0.004068676501599763,-0.006852375233257906,0.0014920160738194279,0.0005111333343949581,-0.00132035127890382,0.003724316691078032,-0.004210349172873984,0.0017354604190815315]]","[[0.9899076602905436,1.002380546827531,1.0048568546604597,0.9924709968780734,0.9958564845881088,0.9994939161668384,1.0014501173651185,1.0038929947549693,0.9976986367775355,1.002221964058705],[0.04974288230768312,0.04986078705498341,0.04980165251672929,0.05090291189043225,0.05059741068770026,0.04965330741248724,0.049791501859149045,0.05078899055008667,0.05095275684045856,0.051056784991553715]]","[0.9018260723310314,0.09817392766896872]",cpu,False,,cpu,cpu,65536,0.0,0.0
2,10,0.1,0.05,diagonal_gaussian_mixture_2,inclusive_kl,5000,11.625586394370849,0.0028922770687309198,0.002988746994566433,11.543184298219172,0.2371708245126285,0.09872495266112029,0.09655380249023438,0.9780080910411928,-0.0222373359332868,0.9780080910411928,1e-12,25311,262144,reliable,"[[1.4991764043147202,1.5048313687788941,1.503708700666455,1.495461016708262,1.4958076495502,1.4972605591812818,1.5022654603989372,1.5052041739526325,1.5028974147597018,1.4991941156295217],[-0.002807169987172124,0.003794343166789782,-0.004068676501599763,-0.006852375233257906,0.0014920160738194279,0.0005111333343949581,-0.00132035127890382,0.003724316691078032,-0.004210349172873984,0.0017354604190815315]]","[[0.9899076602905436,1.002380546827531,1.0048568546604597,0.9924709968780734,0.9958564845881088,0.9994939161668384,1.0014501173651185,1.0038929947549693,0.9976986367775355,1.002221964058705],[0.04974288230768312,0.04986078705498341,0.04980165251672929,0.05090291189043225,0.05059741068770026,0.04965330741248724,0.049791501859149045,0.05078899055008667,0.05095275684045856,0.051056784991553715]]","[0.9018260723310314,0.09817392766896872]",cpu,False,,cpu,cpu,65536,0.0,0.0
2,10,0.1,0.05,diagonal_gaussian_mixture_2,inclusive_kl,5000,11.625586394370849,0.0028922770687309198,0.002988746994566433,11.543184298219172,0.316227766016838,0.0999983055256391,0.0980377197265625,0.9803938097873677,-0.01980094131448595,0.9803938097873677,1e-12,25700,262144,reliable,"[[1.4991764043147202,1.5048313687788941,1.503708700666455,1.495461016708262,1.4958076495502,1.4972605591812818,1.5022654603989372,1.5052041739526325,1.5028974147597018,1.4991941156295217],[-0.002807169987172124,0.003794343166789782,-0.004068676501599763,-0.006852375233257906,0.0014920160738194279,0.0005111333343949581,-0.00132035127890382,0.003724316691078032,-0.004210349172873984,0.0017354604190815315]]","[[0.9899076602905436,1.002380546827531,1.0048568546604597,0.9924709968780734,0.9958564845881088,0.9994939161668384,1.0014501173651185,1.0038929947549693,0.9976986367775355,1.002221964058705],[0.04974288230768312,0.04986078705498341,0.04980165251672929,0.05090291189043225,0.05059741068770026,0.04965330741248724,0.049791501859149045,0.05078899055008667,0.05095275684045856,0.051056784991553715]]","[0.9018260723310314,0.09817392766896872]",cpu,False,,cpu,cpu,65536,0.0,0.0
2,10,0.1,0.1,diagonal_gaussian,exclusive_kl,5000,0.10621384300093617,0.10581041319987358,2.5874339396566146,14.81340067500036,0.158113883008419,0.0009124279218395585,0.0,0.0,-inf,1e-12,1e-12,0,262144,unreliable,"[1.5077965705340906,1.4921429714547894,1.4990488993936126,1.4972750732595126,1.5066866749058916,1.5027629837071914,1.504390996165568,1.5077919689290091,1.490885138435141,1.4892759859717197]","[0.9945533994262651,1.0059507358234858,1.0032242202468378,1.0034559165714858,1.0108483904710737,0.9984223911221588,0.9985956494588497,1.000104477797315,0.9967570941024405,1.0002326811147053]",[1.0],cpu,False,,cpu,cpu,65536,0.0,0.0
2,10,0.1,0.1,diagonal_gaussian,exclusive_kl,5000,0.10621384300093617,0.10581041319987358,2.5874339396566146,14.81340067500036,0.2371708245126285,0.015427587370151638,0.0,0.0,-inf,1e-12,1e-12,0,262144,unreliable,"[1.5077965705340906,1.4921429714547894,1.4990488993936126,1.4972750732595126,1.5066866749058916,1.5027629837071914,1.504390996165568,1.5077919689290091,1.490885138435141,1.4892759859717197]","[0.9945533994262651,1.0059507358234858,1.0032242202468378,1.0034559165714858,1.0108483904710737,0.9984223911221588,0.9985956494588497,1.000104477797315,0.9967570941024405,1.0002326811147053]",[1.0],cpu,False,,cpu,cpu,65536,0.0,0.0
2,10,0.1,0.1,diagonal_gaussian,exclusive_kl,5000,0.10621384300093617,0.10581041319987358,2.5874339396566146,14.81340067500036,0.316227766016838,0.05595067149351087,0.0,0.0,-inf,1e-12,1e-12,0,262144,unreliable,"[1.5077965705340906,1.4921429714547894,1.4990488993936126,1.4972750732595126,1.5066866749058916,1.5027629837071914,1.504390996165568,1.5077919689290091,1.490885138435141,1.4892759859717197]","[0.9945533994262651,1.0059507358234858,1.0032242202468378,1.0034559165714858,1.0108483904710737,0.9984223911221588,0.9985956494588497,1.000104477797315,0.9967570941024405,1.0002326811147053]",[1.0],cpu,False,,cpu,cpu,65536,0.0,0.0
2,10,0.1,0.1,diagonal_gaussian,exclusive_kl,5000,0.10621384300093617,0.10581041319987358,2.5874339396566146,14.81340067500036,0.474341649025257,0.09872495266308819,0.0,0.0,-inf,1e-12,1e-12,0,262144,unreliable,"[1.5077965705340906,1.4921429714547894,1.4990488993936126,1.4972750732595126,1.5066866749058916,1.5027629837071914,1.504390996165568,1.5077919689290091,1.490885138435141,1.4892759859717197]","[0.9945533994262651,1.0059507358234858,1.0032242202468378,1.0034559165714858,1.0108483904710737,0.9984223911221588,0.9985956494588497,1.000104477797315,0.9967570941024405,1.0002326811147053]",[1.0],cpu,False,,cpu,cpu,65536,0.0,0.0
2,10,0.1,0.1,diagonal_gaussian,exclusive_kl,5000,0.10621384300093617,0.10581041319987358,2.5874339396566146,14.81340067500036,0.632455532033676,0.09999830556364511,0.0,0.0,-inf,1e-12,1e-12,0,262144,unreliable,"[1.5077965705340906,1.4921429714547894,1.4990488993936126,1.4972750732595126,1.5066866749058916,1.5027629837071914,1.504390996165568,1.5077919689290091,1.490885138435141,1.4892759859717197]","[0.9945533994262651,1.0059507358234858,1.0032242202468378,1.0034559165714858,1.0108483904710737,0.9984223911221588,0.9985956494588497,1.000104477797315,0.9967570941024405,1.0002326811147053]",[1.0],cpu,False,,cpu,cpu,65536,0.0,0.0
2,10,0.1,0.1,diagonal_gaussian_mixture_2,exclusive_kl,5000,0.0008715893776691136,0.000551990360099888,0.0004992786763674538,12.227697013575142,0.158113883008419,0.0009124279218395585,0.000835418701171875,0.9155996667523895,-0.08817605487016403,0.9155996667523895,1e-12,219,262144,reliable,"[[1.490414842564713,1.495178348600723,1.5015763879444977,1.5105648549708515,1.5074666753921426,1.4913824767691959,1.4993997596206137,1.5000573845362504,1.5012720120192362,1.5093188406163491],[0.0012415703439914655,-0.0004948402304573568,-2.4049044087909403e-05,0.0027708678874703812,-6.860519667381158e-05,-1.4449217627228667e-06,-0.0011703521037924884,-0.0002686485189612953,-0.000283042109554821,-0.0012530162885546893]]","[[1.006732840651383,0.9989102150501274,1.0029403394003364,1.0061015499148689,0.9994813717079318,0.998285908441416,0.999183122114079,0.9904256585530532,1.0066327717227963,1.005960943816159],[0.10007277658459629,0.10089194213768606,0.10072783617396518,0.09881944672099878,0.1006462150093549,0.09951605832099016,0.10048194085266896,0.09934881997777326,0.0999875046548488,0.099205328545959]]","[0.9001168285126596,0.09988317148734027]",cpu,False,,cpu,cpu,65536,0.0,0.0
