dataset,seed,radius,prior_log_mass,posterior_log_mass,prior_mass,posterior_mass
Breast Cancer,4,0.17544350426014077,-16.70168168298969,-4.824693983113813,5.578941488308737e-08,0.008029010507284396
Breast Cancer,4,0.19736570751731428,-16.113238399850037,-4.308482962039102,1.0048690666750934e-07,0.013453944264762704
Breast Cancer,4,0.22202715722123137,-15.52486511467456,-3.809191989436689,1.8098256891148942e-07,0.022166082151603816
Breast Cancer,4,0.24977013060598077,-14.936580466058446,-3.3300830612858916,3.259308919100084e-07,0.0357901321697904
Breast Cancer,4,0.2809796734944778,-14.348408072956985,-2.874701644165066,5.869019464131404e-07,0.056432974099407784
Breast Cancer,4,0.3160889443646427,-13.76037787587747,-2.4467359115137657,1.0566808079894077e-06,0.08657571659981432
Breast Cancer,4,0.3555852261730161,-13.172527845388743,-2.0498065138317063,1.9021459811581794e-06,0.12875981442089818
Breast Cancer,4,0.4000166893741525,-12.584906162098005,-1.6871983134975683,3.4232979382828093e-06,0.1850372147177214
Breast Cancer,4,0.45,-11.997574003752744,-1.3615672694601066,6.159136284821112e-06,0.25625883541385447
Iris 0 vs 1,0,0.03,-25.247398551936516,-21.696308253808407,1.0844115297877206e-11,3.7793146215150085e-10
Iris 0 vs 1,0,0.03374859189280695,-24.65870208234771,-21.107668551387004,1.953717446562907e-11,6.808571809430466e-10
Iris 0 vs 1,0,0.037965581824907835,-24.07000829600098,-20.51904660095351,3.519882917326026e-11,1.226567031622287e-09
Iris 0 vs 1,0,0.04270949756605945,-23.48131790569315,-19.93044711513594,6.34151765295962e-11,2.209615949254358e-09
Iris 0 vs 1,0,0.048046180110125715,-22.892631813537513,-19.34187605733375,1.1425003114646468e-10,3.9804297052540755e-09
Iris 0 vs 1,0,0.05404969748483107,-22.303951161245276,-18.753340973507477,2.0583398682417452e-10,7.170137728615293e-09
Iris 0 vs 1,0,0.06080337274484124,-21.71527739376387,-18.164851411876036,3.7082999465887504e-10,1.2915322859954503e-08
Iris 0 vs 1,0,0.06840094041572894,-21.126612339822096,-17.576419453748883,6.680805673748497e-10,2.3262587495757848e-08
Iris 0 vs 1,0,0.07694784743915471,-20.537958313876793,-16.98806038481989,1.2035885144561053e-09,4.1896632431149885e-08
Iris 0 vs 1,0,0.08656271667513342,-19.9493182451521,-16.399793543926563,2.1683089798298245e-09,7.545015903412956e-08
Iris 0 vs 1,0,0.09737899327339176,-19.36069584097909,-15.811643395928915,3.906219380841669e-09,1.3585965997740022e-07
Iris 0 vs 1,0,0.1095467967638697,-18.772095793565303,-15.223640887469642,7.036916262989775e-09,2.446001776343808e-07
Iris 0 vs 1,0,0.12323500457160347,-18.18352404176146,-14.635825159531635,1.2676397441374712e-08,4.402931158105645e-07
Iris 0 vs 1,0,0.1386335958731748,-17.59498810248504,-14.04824570961843,2.2834618380659233e-08,7.923634018730358e-07
Iris 0 vs 1,0,0.1559562883252034,-17.00649749038709,-13.460965119884772,4.113125712956927e-08,1.4255325141853564e-06
Iris 0 vs 1,0,0.17544350426014077,-16.418064249338027,-12.874062496601002,7.408414839394398e-08,2.563691113796953e-06
Iris 0 vs 1,0,0.19736570751731428,-15.829703625654982,-12.287637802014029,1.334280273236977e-07,4.608363274739818e-06
Iris 0 vs 1,0,0.22202715722123137,-15.241434921076808,-11.701817303078649,2.4028624877593495e-07,8.278760464914316e-06
Iris 0 vs 1,0,0.24977013060598077,-14.653282573804892,-11.116760413698893,4.326734399197426e-07,1.4861145824113713e-05
Iris 0 vs 1,0,0.2809796734944778,-14.065277529108371,-10.532668268732957,7.789822872738971e-07,2.6651416181835345e-05
Iris 0 vs 1,0,0.3160889443646427,-13.47745897787826,-9.949794439009223,1.4022128277983226e-06,4.773744588496379e-05
Iris 0 vs 1,0,0.3555852261730161,-12.88987656320933,-9.36845827541408,2.5234676185466527e-06,8.537491160782841e-05
Iris 0 vs 1,0,0.4000166893741525,-12.302593183052327,-8.789061452484507,4.539956247589279e-06,0.00015239092671353284
Iris 0 vs 1,0,0.45,-11.715688553162494,-8.212108358977892,8.164716502889177e-06,0.00027134801873895855
Iris 0 vs 1,1,0.03,-25.18823954895572,-21.745019797999113,1.1504998199300794e-11,3.599630250314877e-10
Iris 0 vs 1,1,0.03374859189280695,-24.599543666083868,-21.156377027521106,2.072783431315342e-11,6.484883820002073e-10
Iris 0 vs 1,1,0.037965581824907835,-24.010850610730067,-20.56775119463862,3.7343934614236115e-11,1.1682590419504877e-09
Iris 0 vs 1,1,0.04270949756605945,-23.422161132558898,-19.97914679588474,6.727979598749886e-11,2.104586563723181e-09
Iris 0 vs 1,1,0.048046180110125715,-22.83347618015904,-19.39056952127199,1.2121246753188406e-10,3.791252030797895e-09
Iris 0 vs 1,1,0.05404969748483107,-22.24479695385211,-18.802026570921242,2.183772697190472e-10,6.829416691291911e-09
Iris 0 vs 1,1,0.06080337274484124,-21.656124972525866,-18.213527055603628,3.934272389549013e-10,1.2301716202980913e-08
Iris 0 vs 1,1,0.06840094041572894,-21.067462158218206,-17.62508250338066,7.087897638816344e-10,2.2157661615961582e-08
Iris 0 vs 1,1,0.07694784743915471,-20.478810943169556,-17.03670750036169,1.2769250636584569e-09,3.9907262967243306e-08
Iris 0 vs 1,1,0.08656271667513342,-19.89017440531639,-16.44842050094538,2.300419348222561e-09,7.186902289954324e-08
Iris 0 vs 1,1,0.09737899327339176,-19.301556439789206,-15.86024485215628,4.1441984700294425e-09,1.2941457161278533e-07
Iris 0 vs 1,1,0.1095467967638697,-18.712961975993377,-15.272210088297959,7.465585502625614e-09,2.330040297891289e-07
Iris 0 vs 1,1,0.12323500457160347,-18.12439725240602,-14.684353566696949,1.344851356786758e-08,4.194365530500296e-07
Iris 0 vs 1,1,0.1386335958731748,-17.535870164461777,-14.096722533503243,2.4225254720135717e-08,7.548683049037408e-07
Iris 0 vs 1,1,0.1559562883252034,-16.947390705011276,-13.50937673117511,4.363567858711854e-08,1.3581640531207292e-06
Iris 0 vs 1,1,0.17544350426014077,-16.358971522055903,-12.922391687380262,7.859391781012709e-08,2.4427363615338523e-06
Iris 0 vs 1,1,0.19736570751731428,-15.770628625095906,-12.335862859693844,1.4154776356908457e-07,4.391398311143992e-06
Iris 0 vs 1,1,0.22202715722123137,-15.182382279867847,-11.749910852857248,2.549031214471486e-07,7.890028169316816e-06
Iris 0 vs 1,1,0.24977013060598077,-14.5942581419969,-11.164687976664528,4.589804859788589e-07,1.4165686282788965e-05
Iris 0 vs 1,1,0.2809796734944778,-14.006288693804375,-10.580386473751698,8.263158976979864e-07,2.5409524504082606e-05
Iris 0 vs 1,1,0.3160889443646427,-13.418515066042506,-9.99724881812051,1.487349224949529e-06,4.552500520032522e-05
Iris 0 vs 1,1,0.3555852261730161,-12.830989348791245,-9.41558056642305,2.676530079537131e-06,8.144516661478519e-05
Iris 0 vs 1,1,0.4000166893741525,-12.243777524611135,-8.835766331989598,4.814985497738028e-06,0.00014543717784351988
Iris 0 vs 1,1,0.45,-11.656963194241365,-8.258289539591324,8.658550793618713e-06,0.000259101795777769
Iris 0 vs 1,2,0.03,-25.235432229024873,-21.652864332491056,1.0974658989466255e-11,3.9471215725062755e-10
Iris 0 vs 1,2,0.03374859189280695,-24.6467360270264,-21.06422738717015,1.9772361701548795e-11,7.110862487879557e-10
Iris 0 vs 1,2,0.037965581824907835,-24.05804255641963,-20.475608925678877,3.562253914277658e-11,1.2810203531418008e-09
Iris 0 vs 1,2,0.04270949756605945,-23.46935253992595,-19.887013854829963,6.417852004685825e-11,2.3077014413622974e-09
Iris 0 vs 1,2,0.048046180110125715,-22.880666891861523,-19.298448383687077,1.1562523451484448e-10,4.157098908631242e-09
Iris 0 vs 1,2,0.05404969748483107,-22.291986768979136,-18.709920368975077,2.0831145654060623e-10,7.488327448384184e-09
Iris 0 vs 1,2,0.06080337274484124,-21.703313634810335,-18.12143975198532,3.752931602112851e-10,1.3488346426215791e-08
Iris 0 vs 1,2,0.06840094041572894,-21.114649341094882,-17.533019111138557,6.761208111765987e-10,2.4294420764300057e-08
Iris 0 vs 1,2,0.07694784743915471,-20.52599623083951,-16.944674360705065,1.2180723961972587e-09,4.375436924356058e-08
Iris 0 vs 1,2,0.08656271667513342,-19.93735726875657,-16.35642563415341,2.194399797124621e-09,7.8794264035993e-08
Iris 0 vs 1,2,0.09737899327339176,-19.348736206365302,-15.768298400612768,3.953216813237357e-09,1.4187798623032753e-07
Iris 0 vs 1,2,0.1095467967638697,-18.760137790980195,-15.180324875484349,7.121568855080554e-09,2.55428100108098e-07
Iris 0 vs 1,2,0.12323500457160347,-18.171568030273118,-14.592545801927464,1.2828866237924071e-08,4.597670899306214e-07
Iris 0 vs 1,2,0.1386335958731748,-17.583034527219638,-14.00501269949245,2.3109211625977167e-08,8.273709450573679e-07
Iris 0 vs 1,2,0.1559562883252034,-16.994546904205556,-13.417790700415598,4.1625748609056914e-08,1.4884269999077316e-06
Iris 0 vs 1,2,0.17544350426014077,-16.406117340108064,-12.830962123983628,7.497453307239443e-08,2.676602948545546e-06
Iris 0 vs 1,2,0.19736570751731428,-15.81776125057359,-12.244630975948775,1.350310276362049e-07,4.810877894993118e-06
Iris 0 vs 1,2,0.22202715722123137,-15.229498149873844,-11.658928604261092,2.431716778429449e-07,8.641549903465185e-06
Iris 0 vs 1,2,0.24977013060598077,-14.641352743127054,-11.074020795251917,4.37866072827612e-07,1.5510074223653444e-05
Iris 0 vs 1,2,0.2809796734944778,-14.053356310966421,-10.490116656267853,7.883242783695661e-07,2.7809950872303125e-05
Iris 0 vs 1,2,0.3160889443646427,-13.465548465762794,-9.907479701077413,1.4190137558861275e-06,4.980079047451495e-05
Iris 0 vs 1,2,0.3555852261730161,-12.877979380368945,-9.326441630806912,2.5536690740827984e-06,8.903850593825918e-05
