a_p,a_q,r,mc_p_mass,mc_q_mass,mc_local_mass_ratio,mc_samples,mc_p_count_inside,mc_q_count_inside
0.5,1.0,0.00015117750706156616,0.010925,8.5e-05,0.007780320366132723,200000,2185,17
0.5,1.0,0.00018587918911465635,0.01219,0.000115,0.009433962264150945,200000,2438,23
0.5,1.0,0.00022854638641349906,0.013615,0.000135,0.009915534337128168,200000,2723,27
0.5,1.0,0.0002810075242497918,0.015005,0.00019,0.012662445851382874,200000,3001,38
0.5,1.0,0.0003455107294592218,0.01667,0.000225,0.01349730053989202,200000,3334,45
0.5,1.0,0.0004248201698162612,0.018625,0.00028,0.015033557046979866,200000,3725,56
0.5,1.0,0.0005223345074266843,0.02072,0.00036,0.017374517374517378,200000,4144,72
0.5,1.0,0.0006422325422229357,0.02294,0.000485,0.021142109851787272,200000,4588,97
0.5,1.0,0.0007896522868499724,0.025575,0.00059,0.023069403714565007,200000,5115,118
0.5,1.0,0.0009709111468707553,0.028305,0.000775,0.027380321497968554,200000,5661,155
0.5,1.0,0.0011937766417144358,0.03142,0.00096,0.0305537873965627,200000,6284,192
0.5,1.0,0.0014677992676220704,0.035055,0.001195,0.03408928826130367,200000,7011,239
0.5,1.0,0.0018047217668271701,0.038785,0.00146,0.03764341884749259,200000,7757,292
0.5,1.0,0.0022189823414589718,0.0429,0.00176,0.041025641025641026,200000,8580,352
0.5,1.0,0.0027283333764867696,0.04775,0.00219,0.04586387434554974,200000,9550,438
0.5,1.0,0.0033546021859540433,0.052935,0.002705,0.051100406158496266,200000,10587,541
0.5,1.0,0.004124626382901352,0.058905,0.00332,0.05636193871487989,200000,11781,664
0.5,1.0,0.005071403956558132,0.06555,0.003965,0.0604881769641495,200000,13110,793
0.5,1.0,0.006235507341273912,0.072685,0.004965,0.0683084542890555,200000,14537,993
0.5,1.0,0.007666822074546214,0.080455,0.006055,0.07525946181095022,200000,16091,1211
0.5,1.0,0.009426684551178854,0.089585,0.00755,0.08427750181391974,200000,17917,1510
0.5,1.0,0.011590510483144828,0.100165,0.00927,0.09254729696001597,200000,20033,1854
0.5,1.0,0.014251026703029978,0.11095,0.01126,0.10148715637674628,200000,22190,2252
0.5,1.0,0.017522244804127837,0.12315,0.013845,0.11242387332521316,200000,24630,2769
