a_p,a_q,alpha,r,p_mass,q_mass,local_mass_ratio,local_rekl_q_p,local_rekl_p_q,normalised_local_rekl_q_p,normalised_local_rekl_p_q,estimated_MI_p,estimated_MI_q,theoretical_MI_p,theoretical_MI_q,estimated_slope_p,estimated_slope_q,slope_points_p,slope_points_q,mi_preserved_theoretical,mi_preserved_estimated,metrics_match_theoretical_classification,integration_status,integration_message,integration_error_q_p,integration_error_p_q
0.5,0.25,0.5,0.0007896522868499724,0.026069898422410944,0.16322923585276905,6.261214877325695,0.06629424415312342,0.0662942441531025,2.5429421733432487,0.4061419745473732,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,1.6822099269120372e-12,1.1368683772161603e-12
0.5,0.25,0.5,0.0009709111468707553,0.028907538985621796,0.17188336098969972,5.94597004868495,0.06787522147095161,0.06787522147097433,2.3480110674489376,0.3948911696871102,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,3.069905440966636e-12,2.2417345757475005e-12
0.5,0.25,0.5,0.0011937766417144358,0.03205404881207409,0.18099631087967577,5.6465974685699685,0.06942535952342531,0.06942535952342531,2.1658842516416903,0.3835733401747535,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,2.5812962878291046e-12,2.5812962878291046e-12
0.5,0.25,0.5,0.0014677992676220704,0.03554304710581127,0.19059241053976309,5.362298003667821,0.07093826417973256,0.07093826417973256,1.9958408171519484,0.37219878786796073,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,4.011443954787808e-12,4.011443954787808e-12
0.5,0.25,0.5,0.0018047217668271701,0.03941181214950347,0.2006972740248289,5.09231276307495,0.0724073063917216,0.0724073063917216,1.8371980998248474,0.36077872379454373,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,4.308498002814076e-13,4.308498002814076e-13
0.5,0.25,0.5,0.0022189823414589718,0.043701679392744434,0.21133787239597493,4.835921075176398,0.07382567116629386,0.07382567116637717,1.689309705991545,0.3493253259787394,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,3.0642571813288555e-12,1.0056400157054668e-12
0.5,0.25,0.5,0.0027283333764867696,0.048458482740696786,0.2225426050711014,4.5924385677103325,0.07518641988648801,0.07518641988648801,1.5515636403395758,0.33785180083816435,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,4.927377950103562e-12,4.927377950103562e-12
0.5,0.25,0.5,0.0033546021859540433,0.05373304365704697,0.2343413746058495,4.361215346399164,0.07648256812883991,0.07648256812883991,1.4233805294372042,0.32637244813247246,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,5.68282920720975e-12,5.68282920720975e-12
0.5,0.25,0.5,0.004124626382901352,0.05958171313774067,0.2467656648781435,4.141634268012268,0.07770718151542587,0.07770718151541875,1.304211937239583,0.31490272989879564,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,3.3449631953175185e-12,3.832059669583998e-12
0.5,0.25,0.5,0.005071403956558132,0.06606697206226449,0.25984862252463903,3.9331093042942245,0.07885349243801296,0.07885349243803973,1.1935387679595468,0.3034593436436739,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,3.569824991167536e-12,9.379899634787137e-12
